ID,STAR,PERIOD,V_INTMEAN,BV_INTMEAN,EBV,V_AMPL,MV,DIST,Z,RV_MEAN,RADIUS BIN  1H?,NOTES
389,HW Pup,13.454,12.05,1.237,0.723,1.122,-4.48,7207,98,116.2,,
390,LL Pup,5.07753,,,,,-3.25,,,,,
391,LQ Pup,4.51722,,,,,-3.1,,,,,
392,LR Pup,3.33124,,,,,-2.72,,,,,
393,LS Pup,14.1464,10.442,1.231,0.478,1.032,-4.54,5012,11,77.4,93.8   O:,
394,LX Pup,13.88,,,,,-4.52,,,,,
395,MY Pup,5.695309,5.677,0.631,0.064,0.301,-3.86,736,-164,12.7,s,
396,NT Pup,15.565,,,,,-4.66,,,,,
396.5,V335 Pup,4.860985,8.717,0.759,0.162,0.21,-3.65,2362,125,,s,new period
397,S Sge,8.382086,5.622,0.805,0.127,0.718,-3.88,663,-71,-9.7,O,
398,DG Sge,4.43727,13.222,1.938,1.428,0.772,-3.08,2383,-67,,,
399,GX Sge,12.8996,12.463,2.037,1.31,1.093,-4.43,3685,19,,,
400,GY Sge,51.0625,10.151,2.286,1.376,0.684,-6.16,2565,-25,15.6,,AssOBanon
401,U Sgr,6.745229,6.695,1.087,0.403,0.717,-3.61,647,-50,2.8,51.4,M25
402,W Sgr,7.594904,4.668,0.746,0.111,0.805,-3.76,414,-29,-25.8,63.3  O C,IUE
403,X Sgr,7.012877,4.549,0.739,0.197,0.59,-3.66,331,1,-13.7,49.8,
404,Y Sgr,5.77338,5.744,0.856,0.205,0.725,-3.41,505,-19,-2.5,50,
405,VY Sgr,13.5572,11.511,1.941,1.283,1.175,-4.49,2539,-48,,,
406,WZ Sgr,21.849789,8.03,1.392,0.467,1.105,-5.09,2160,-50,-15.7,119.1,C1814-191
407,XX Sgr,6.42414,8.852,1.107,0.543,0.855,-3.55,1392,-46,2,,
408,YZ Sgr,9.553687,7.358,1.032,0.292,0.674,-4.05,1261,-156,18.5,O:,
409,AP Sgr,5.057916,6.955,0.807,0.192,0.832,-3.25,836,-36,-15,44,
410,AV Sgr,15.415,11.391,1.999,1.267,0.947,-4.65,2646,-27,19.1,O:,
411,AY Sgr,6.56959,10.549,1.457,0.919,0.85,-3.58,1803,-76,-26.5,,
412,BB Sgr,6.637102,6.947,0.987,0.284,0.597,-3.59,854,-134,4.9,40.3,Coll 394
413,GK Sgr,14.867,,,,,-4.6,,,,,
414,V350 Sgr,5.154178,7.483,0.905,0.312,0.705,-3.27,906,-125,0.1,47.8  O C,IUE
415,V504 Sgr,1.5,,,,,-1.71,,,,,
416,V773 Sgr,5.748445,12.389,2.223,1.62,0.719,-3.41,1420,-13,-0.9,,
417,V1954Sgr,6.179449,10.831,1.462,0.875,0.772,-3.5,2107,-64,,,
418,V2284Sgr,1.94192,,,,,-2.04,,,,,
419,V2434Sgr,2.8838,,,,,-2.54,,,,,
420,V2511Sgr,1.724757,,,,,-1.89,,,,,
421,V2719Sgr,70.8,,,,,-6.57,,,,,
422,V2864Sgr,75.81,,,,,-6.66,,,,,
423,V3820Sgr,14,,,,,-4.53,,,,,
424,V3910Sgr,6.2,,,,,-3.5,,,,,
426,RV Sco,6.061306,7.04,0.955,0.342,0.824,-3.47,776,77,-16.6,47.7,
427,RY Sco,20.320144,8.004,1.426,0.777,0.83,-5,1315,-78,-17.7,99.8,
428,KQ Sco,28.6896,9.807,1.934,0.896,0.9,-5.43,3104,-41,-22.1,148.9,AssScoOBa
429,V470 Sco,16.2615,11.069,2.12,1.517,0.948,-4.72,1647,9,-2.8,,
430,V482 Sco,4.527807,7.965,0.975,0.36,0.652,-3.11,981,3,7.6,44.4,
