ID,STAR,PERIOD,V_INTMEAN,BV_INTMEAN,EBV,V_AMPL,MV,DIST,Z,RV_MEAN,RADIUS BIN  1H?,NOTES
113.5,V397 Car,2.0635,8.32,0.754,0.279,0.215,-2.55,1003,-155,,s,
114,l Car,35.551341,3.724,1.299,0.17,0.725,-5.7,602,-73,3.6,183.7,
115,RS Cas,6.295983,9.932,1.49,0.875,0.75,-3.52,1406,19,-24.5,,
116,RW Cas,14.791548,9.117,1.096,0.42,1.19,-4.6,3041,-242,-71.3,101.7,
117,RY Cas,12.13888,9.927,1.384,0.649,0.9,-4.35,3828,-217,-70.5,,
118,SU Cas,1.949322,5.97,0.703,0.287,0.414,-2.04,265,39,-7,C,AssBAanon IUE
119,SW Cas,5.44095,9.705,1.081,0.494,0.662,-3.34,2008,-56,-38,,
120,SY Cas,4.071098,9.868,0.992,0.464,0.81,-2.97,1905,-137,-47.1,O:,
121,SZ Cas,13.637747,9.853,1.419,0.819,0.416,-4.5,2306,-47,-45.9,,
122,TU Cas,2.139298,7.733,0.582,0.115,0.553,-2.16,808,-160,-18.9,,dblmode
123,UZ Cas,4.259459,11.338,1.11,0.52,0.72,-3.03,3558,-96,-51,,
124,VV Cas,6.207059,10.724,1.143,0.553,0.88,-3.5,3176,-117,-50.5,,
125,VW Cas,5.993859,10.697,1.245,0.475,0.7,-3.46,3443,-64,-58.5,,
126,XY Cas,4.501697,9.935,1.147,0.56,0.58,-3.1,1819,-87,-42,,
127,AP Cas,6.847,11.543,1.459,0.834,0.65,-3.63,3292,6,-44.5,,
128,AS Cas,3.02125,12.248,1.342,0.867,0.306,-2.6,2704,71,,,dblmode
129,AW Cas,4.27833,12.071,1.446,0.915,0.772,-3.03,2837,-55,,,
130,AY Cas,2.871294,11.537,1.27,0.775,0.72,-2.53,2152,97,,,
130.3,BD Cas,3.6509,11,1.565,,0.323,-3.28,,,,s,
131,BF Cas,3.63027,12.47,1.271,0.778,0.866,-2.83,3781,-103,,,
132,BP Cas,6.272724,10.92,1.55,0.948,0.79,-3.52,1996,99,-46.5,,
133,BV Cas,5.39964,12.397,1.542,1.04,0.861,-3.33,3167,-14,,,
134,BY Cas,3.2233,10.366,1.309,0.796,0.373,-3.12,1602,-20,-58,O    s,
135,CD Cas,7.80089,10.738,1.449,0.818,0.79,-3.79,2503,48,-54.9,,
136,CE Cas A,5.1409,10.922,1.171,0.584,0.55,-3.27,2994,-52,-78.1,,NGC 7790
137,CE Cas B,4.4793,11.062,1.042,0.554,0.697,-3.09,3068,-54,,,NGC 7790
138,CF Cas,4.87522,11.136,1.174,0.566,0.603,-3.2,3283,-57,-77.7,40.6,NGC 7790
139,CG Cas,4.365664,11.335,1.25,0.691,0.833,-3.06,2823,-65,-79.3,O:,
140,CH Cas,15.08619,10.973,1.65,0.939,1.103,-4.62,3442,99,,,
141,CT Cas,3.81061,12.257,1.322,0.793,0.616,-2.89,3449,31,,,
142,CY Cas,14.37686,11.641,1.738,1.012,1.15,-4.56,4100,140,,,
143,CZ Cas,5.66438,11.713,1.424,0.861,0.82,-3.39,3067,36,,,
144,DD Cas,9.812027,9.876,1.188,0.501,0.589,-4.08,3024,26,-70.1,85.1,
145,DF Cas,3.832472,10.848,1.181,0.599,0.6,-2.9,2389,63,-33,,
146,DL Cas,8.000669,8.969,1.154,0.533,0.571,-3.82,1688,-75,-33.6,89.0   O,NGC 129
147,DT Cas,4.78996,,,,,-3.18,,,,,
148,DW Cas,4.99776,11.112,1.475,0.884,0.593,-3.23,2092,-81,,,
149,EX Cas,4.3053,12.804,1.468,0.788,0.634,-3.04,4789,-35,,,
150,FM Cas,5.809284,9.127,0.989,0.351,0.576,-3.42,1958,-213,-29.1,62.1,
151,FO Cas,6.7988,14.297,1.357,0.803,0.855,-3.62,####,-382,,,
152,FW Cas,6.23705,12.443,1.48,0.912,0.503,-3.51,4219,-40,,,
153,GL Cas,4.00789,12.744,1.268,0.741,0.799,-2.95,4779,-173,,,
154,GM Cas,7.4689,,,,,-3.74,,,,,
155,GO Cas,3.23904,13.215,1.63,1.106,0.547,-2.68,3120,-48,,,
156,IO Cas,5.60392,13.673,1.164,0.614,0.815,-3.38,####,-467,,,
157,KK Cas,8.19165,11.921,1.624,0.992,0.585,-3.85,3461,-124,,,
158,LT Cas,5.90488,12.528,1.244,0.72,1.046,-3.44,5587,316,,,
159,NP Cas,6.1706,13.582,1.755,1.179,0.649,-3.5,4846,23,,,
160,NY Cas,2.823092,13.33,0.834,0.349,0.449,-2.95,####,-812,,s,
161,OP Cas,5.5128,11.909,1.617,1.014,0.612,-3.35,2654,31,,,
162,OZ Cas,5.08,13.472,2.168,1.629,0.661,-3.25,2160,-26,,,
163,PW Cas,3.999927,13.078,1.305,0.725,0.563,-2.95,5703,6,,,
164,V342 Cas,3.91989,12.034,1.287,0.725,0.504,-2.92,3488,-114,,,
165,V379 Cas,4.30575,9.053,,,0.349,-3.5,,,-37.8,s,
166,V395 Cas,4.037771,10.717,1.146,0.601,0.56,-2.96,2307,72,,,new period
167,V407 Cas,4.584553,11.996,1.34,0.759,0.461,-3.12,3573,-4,,,
168,V636 Cas,8.377,7.199,1.365,0.7,0.188,-3.88,605,12,-24.9,,
169,V Cen,5.493861,6.836,0.875,0.289,0.804,-3.35,721,42,-23.2,45.3,NGC 5662
170,TX Cen,17.0936,10.532,1.691,1.058,1.157,-4.78,2549,-27,-52,,
171,UZ Cen,3.33434,8.765,0.74,0.275,0.802,-2.72,1338,-21,-11.9,,dblmode
172,VW Cen,15.03618,10.245,1.345,0.448,1.074,-4.62,4957,-136,-30.8,94.8   O:,
173,XX Cen,10.95337,7.818,0.983,0.26,0.924,-4.22,1764,143,-18.8,57.8   O,
174,AY Cen,5.30975,8.83,1.009,0.31,0.58,-3.31,1721,12,-15.5,,
175,AZ Cen,3.211981,8.636,0.653,0.16,0.382,-3.12,1786,-7,-11.5,s,
176,BB Cen,3.99766,10.073,0.953,0.396,0.44,-3.4,2814,-36,-15.8,s,
177,BK Cen,3.173887,10.008,0.886,0.33,0.632,-2.66,2141,-392,-26.3,,dblmode
178,IU Cen,3.31926,,,,,-2.72,,,,,
179,IZ Cen,5.8923,,,,,-3.44,,,-19.7,,
180,KK Cen,12.1803,11.48,1.282,0.642,1.01,-4.35,5861,277,-2.7,,
181,KN Cen,34.029641,9.87,1.582,0.788,1.097,-5.65,4122,-152,-39.7,179.9,
182,LV Cen,4.97513,,,,,-3.23,,,-16.7,,
183,MY Cen,3.71861,12.08,1.636,1.253,0.776,-2.86,1634,-33,-15.2,,
184,MZ Cen,10.353,11.531,1.57,0.913,0.746,-4.15,3717,-101,-30.6,,
185,OO Cen,12.8805,12.042,1.844,1.197,0.765,-4.42,3550,-35,-35.7,O:,
186,QY Cen,17.7524,11.762,2.15,1.52,1.013,-4.83,2377,-9,-58.7,,
187,V339 Cen,9.466,8.753,1.191,0.428,0.603,-4.04,1964,-19,-24.4,62.6,
188,V378 Cen,6.4593,8.46,1.035,0.395,0.378,-4.02,1780,10,-16.5,s,
189,V381 Cen,5.07878,7.653,0.792,0.205,0.72,-3.25,1131,86,-31.8,,
190,V419 Cen,5.50691,8.186,0.758,0.176,0.33,-3.81,1952,145,-15.2,s,N221
191,V496 Cen,4.42419,9.966,1.172,0.568,0.593,-3.08,1807,62,,,
191.5,V553 Cen,2.06051,8.457,0.691,0.218,0.482,-2.11,953,398,,,
192,V641 Cen,81,10.443,1.932,0.978,0.673,-6.74,6766,30,-41,,New period
193,V659 Cen,5.6218,6.598,0.758,0.134,0.24,-3.38,818,13,,C,
194,V686 Cen,69.3,,,,,-6.54,,,,,
195,V737 Cen,7.06585,6.719,0.999,0.216,0.317,-3.67,879,-25,,,
196,V782 Cen,11.578,,,,,-4.29,,,35.4,,
197,AK Cep,7.23268,11.18,1.341,0.704,0.61,-3.7,3464,22,-45.6,,
198,CN Cep,9.5025,12.376,1.853,1.17,0.59,-4.04,3612,217,,,
199,CP Cep,17.859,10.59,1.668,0.682,0.74,-4.84,4604,86,-40.5,,
200,CR Cep,6.232964,9.656,1.396,0.758,0.364,-3.51,1456,9,-32.3,,
201,IR Cep,2.114124,7.784,0.888,0.434,0.372,-2.15,522,45,-5.3,,
202,IY Cep,5.656906,12.839,1.507,0.908,0.676,-3.39,4818,-33,,,
203,KO Cep,4.55809,14.127,1.928,1.357,0.572,-3.11,4006,6,,
204,MU Cep,3.76782,12.244,1.349,0.833,0.69,-2.87,3215,16,,
205,Del Cep,5.36627,3.954,0.657,0.092,0.838,-3.32,250,2,-16,41.6
206,AV Cir,3.0651,7.439,0.91,0.397,0.315,-2.61,580,-73,,
207,AX Cir,5.273306,5.88,0.741,0.153,0.42,-3.3,551,-39,-25.5,O C
208,BP Cir,2.3984,7.56,0.702,0.235,0.337,-2.31,673,-19,,C
209,R Cru,5.82575,6.766,0.772,0.192,0.794,-3.42,828,15,-16.5,
210,S Cru,4.689596,6.6,0.761,0.163,0.69,-3.15,706,55,-7.1,42.1
211,T Cru,6.7332,6.566,0.922,0.193,0.498,-3.61,823,6,-9.8,
212,X Cru,6.21997,8.404,1.001,0.286,0.591,-3.51,1605,105,-25,
213,SU Cru,12.8476,9.796,1.752,1,0.651,-4.42,1672,-19,-33.6,219.6  O
214,SV Cru,7.00427,12.104,1.345,0.845,0.797,-3.66,4255,-30,-15.4,
215,TY Cru,4.98851,,,,,-3.23,,,-14.3,
216,VV Cru,6.12115,,,,,-3.49,,,-35.1,
217,VW Cru,5.26522,9.622,1.309,0.675,0.615,-3.3,1465,-18,-2.7,
218,VX Cru,12.2126,11.995,1.575,0.957,0.948,-4.36,4761,130,-28.5,O:
219,AD Cru,6.39789,11.051,1.279,0.68,0.76,-3.54,3138,24,-34.3,
221,AG Cru,3.837254,8.225,0.738,0.211,0.852,-2.9,1242,66,-8.5,30.3
222,BG Cru,3.34272,5.487,0.606,0.053,0.246,-3.17,500,29,-20.3,s
224,X Cyg,16.386332,6.391,1.13,0.288,0.986,-4.73,1111,-83,8.6,118.1
225,SU Cyg,3.845492,6.859,0.575,0.096,0.766,-2.9,780,34,-24.4,O C
226,SZ Cyg,15.109642,9.432,1.477,0.631,0.879,-4.63,2637,183,-12.1,117.6
227,TX Cyg,14.708157,9.511,1.784,1.181,1.221,-4.59,1225,-49,-20.4,
228,VX Cyg,20.133407,10.069,1.704,0.791,1.043,-4.99,3322,-202,-18,
229,VY Cyg,7.856982,9.593,1.215,0.652,0.81,-3.8,1881,-152,-11.9,59.1
230,VZ Cyg,4.864453,8.959,0.876,0.289,0.674,-3.2,1789,-265,-18.5,37.2   O
231,BZ Cyg,10.141932,10.213,1.573,0.933,0.547,-4.12,1942,47,-13.2,
232,CD Cyg,17.073967,8.947,1.266,0.514,1.225,-4.78,2677,67,-11.6,102.4
233,DT Cyg,2.499082,5.774,0.538,0.039,0.288,-2.8,490,-92,-1.6,s
234,EP Cyg,4.3186,12.739,1.207,0.686,0.859,-3.05,5401,329,,
235,EX Cyg,4.850793,12.98,1.667,1.078,0.739,-3.19,3678,110,,
236,EZ Cyg,11.659717,11.088,1.434,0.824,0.925,-4.3,3687,37,,
237,GH Cyg,7.81793,9.924,1.266,0.662,0.806,-3.79,2150,-3,-11.1,,
238,GI Cyg,5.78255,11.751,1.456,0.781,0.674,-3.41,3532,129,,,
239,IY Cyg,21.75257,13.097,1.892,1.198,1.419,-5.08,7826,242,,,
240,KX Cyg,20.0467,11.935,2.364,1.764,1.158,-4.98,1947,58,,,
241,MW Cyg,5.954586,9.489,1.316,0.68,0.719,-3.45,1466,-16,-16.4,59.1   O,
242,V347 Cyg,8.7362,12.48,1.712,1.1,0.683,-3.93,3981,81,,,
243,V356 Cyg,5.05761,12.443,1.402,0.778,0.757,-3.25,4531,-44,,,
244,V386 Cyg,5.257606,9.635,1.491,0.895,0.685,-3.29,1072,-91,-5.1,41.9,
245,V396 Cyg,33.247,11.415,2.27,1.148,0.878,-5.62,4957,332,,,
246,V402 Cyg,4.364836,9.873,1.008,0.417,0.557,-3.06,2128,84,-12.7,,
247,V438 Cyg,11.211058,10.937,1.946,1.13,1.029,-4.25,2172,86,-10.2,,
248,V459 Cyg,7.25125,10.601,1.439,0.798,0.705,-3.7,2320,28,-20.7,,
249,V492 Cyg,7.58017,12.389,1.651,1.065,0.534,-3.76,3711,62,,,
250,V495 Cyg,6.71631,10.621,1.623,1.027,0.449,-3.6,1616,-2,-10.7,,new period
251,V514 Cyg,5.09891,11.431,1.673,1.139,0.831,-3.26,1706,43,,,
252,V520 Cyg,4.049068,10.851,1.349,0.802,0.636,-2.97,1849,52,-22.8,,
253,V532 Cyg,3.283612,9.086,1.036,0.534,0.341,-2.7,1062,-56,-16.2,
254,V538 Cyg,6.118961,10.456,1.283,0.675,0.537,-3.49,2348,-16,-17.3,
255,V547 Cyg,6.22541,13.391,1.527,0.996,0.989,-3.51,5790,343,,
256,V554 Cyg,4.327815,14.176,1.158,0.642,0.748,-3.05,####,814,,
257,V609 Cyg,31.072,11.002,2.008,1.322,1.201,-5.53,3067,143,,
258,V621 Cyg,5.864,11.754,1.189,0.558,0.859,-3.43,4907,-152,,
259,V641 Cyg,3.53086,,,,,-2.79,,,,
260,V924 Cyg,5.571472,10.71,0.847,0.258,0.257,-3.37,4529,421,-12.8,
261,V1020Cyg,4.919964,13.711,1.841,1.329,0.789,-3.21,3566,101,,
262,V1025Cyg,6.96176,12.984,1.724,1.112,0.75,-3.65,4339,29,,
263,V1033Cyg,4.937512,13.027,1.609,1.067,0.611,-3.22,3871,33,,
264,V1046Cyg,4.9445,12.356,1.709,1.143,0.6,-3.22,2550,29,,
265,V1154Cyg,4.92546,9.19,0.925,0.335,0.404,-3.21,1872,285,-4.5,
266,V1334Cyg,3.33302,5.871,0.504,####,0.146,-2.72,523,-72,-5.2,O C
267,V1336Cyg,31.77,,,,,-5.56,,,,
268,V1364Cyg,12.9764,13.263,1.984,1.302,0.73,-4.43,5328,145,,
269,V1467Cyg,48.6,13.487,2.49,1.63,1.087,-6.1,8095,92,,,
270,V1726Cyg,4.23706,9.009,0.885,0.312,0.216,-3.48,2011,-57,-15.1,s,C2128+488     N353N301
271,Beta Dor,9.842425,3.731,0.807,0.044,0.63,-4.08,343,-186,7.4,64.4,
272,W Gem,7.913779,6.95,0.889,0.283,0.822,-3.81,947,56,-0.1,50.7,
273,RZ Gem,5.529286,10.007,1.025,0.57,0.952,-3.36,2089,-3,12,52.5,
274,AA Gem,11.302328,9.721,1.061,0.33,0.664,-4.26,3905,184,9.5,,
275,AD Gem,3.78798,9.857,0.694,0.167,0.623,-2.88,2779,369,45,,
276,BW Gem,2.63501,,,,,-2.42,,,,,
277,DX Gem,3.137486,10.746,0.936,0.451,0.35,-2.64,2498,120,16,,
278,Zeta Gem,10.15073,3.918,0.798,0.018,0.48,-4.12,395,81,6.9,64.9,
279,V Lac,4.983468,8.936,0.873,0.356,0.94,-3.23,1631,-73,-25.4,43,
280,X Lac,5.44499,8.407,0.901,0.362,0.405,-3.34,1333,-58,-25.3,64.7,
281,Y Lac,4.323776,9.146,0.731,0.217,0.705,-3.05,2017,-142,-22,50.3,IUE
282,Z Lac,10.885613,8.415,1.095,0.404,0.968,-4.21,1882,-53,-31.4,68.9   O,
283,RR Lac,6.416243,8.848,0.885,0.353,0.764,-3.55,1823,-64,-38.8,45.6,
284,WX Lac,7.516,,,,,-3.75,,,,,
285,BG Lac,5.331932,8.883,0.949,0.336,0.611,-3.31,1699,-273,-18.6,45.4,
286,DF Lac,4.47925,11.873,1.199,0.583,0.65,-3.09,4277,-163,,,
287,FQ Lac,11.2664,13.74,1.204,0.582,0.926,-4.26,####,###,,,
288,GH Lup,9.277948,7.635,1.21,0.364,0.192,-4.01,1269,74,-16.1,58.2,
289,V473 Lyr,1.49078,6.182,0.632,0.026,0.277,-1.71,365,47,-14.7,,var ampl
290,T Mon,27.024649,6.124,1.166,0.209,1.028,-5.36,1470,-65,27,130.6 O C,AssMonOB2
291,SV Mon,15.23278,8.219,1.048,0.249,1.105,-4.64,2615,-167,27.1,99.7,
292,TW Mon,7.0969,12.575,1.339,0.696,0.506,-3.67,6576,-22,,,
293,TX Mon,8.701731,10.96,1.096,0.511,0.633,-3.93,4583,-62,51,,
294,TY Mon,4.022695,11.74,1.158,0.572,0.595,-2.96,3842,84,59.5,,
295,TZ Mon,7.428014,10.761,1.116,0.441,0.715,-3.73,4215,95,34,O,
296,UY Mon,2.39797,9.391,0.527,0.067,0.416,-2.75,2430,254,34.9,s,
297,VZ Mon,5.0834,13.589,1.605,1.041,0.574,-3.25,5293,91,,,New period
298,WW Mon,4.66231,12.505,1.128,0.635,0.98,-3.14,5436,26,,,
299,XX Mon,5.456473,11.898,1.139,0.596,0.754,-3.34,4765,-92,66.4,O:,
300,YY Mon,3.4547,13.761,1.104,0.67,0.988,-2.77,7759,-390,,,
301,AA Mon,3.938164,12.707,1.409,0.832,0.786,-2.93,4140,-31,66.1,,
302,AC Mon,8.01425,10.067,1.165,0.508,0.698,-3.83,2914,-94,,,
303,BE Mon,2.70551,10.578,1.134,0.622,0.538,-2.46,1649,28,45.4,,
304,BV Mon,3.01496,11.431,1.109,0.612,0.515,-2.59,2664,151,,,New P  dblm?
305,CS Mon,6.73192,11.002,1.161,0.528,0.529,-3.61,3936,-84,,,
306,CU Mon,4.707873,13.607,1.393,0.789,0.742,-3.16,7315,-527,,,
307,CV Mon,5.378898,10.299,1.297,0.714,0.727,-3.32,1910,-60,18.9,48.1,anon vdB
308,EE Mon,4.80896,12.941,0.966,0.488,0.864,-3.18,8349,-549,68.9,,
309,EK Mon,3.957941,11.048,1.195,0.584,0.553,-2.94,2726,-39,,,
310,FG Mon,4.49659,13.31,1.209,0.684,0.72,-3.1,7204,-11,88.7,,
311,FI Mon,3.287822,12.924,1.068,0.539,0.57,-2.7,6175,110,85.8,,
312,V446 Mon,1.919459,14.538,1.411,0.88,0.61,-2.02,9256,-207,,,
313,V447 Mon,2.4838,14.108,1.471,0.967,0.97,-2.35,4921,40,,,
314,V465 Mon,2.713176,10.379,0.762,0.256,0.369,-2.9,3146,202,60.7,O    s,
315,V484 Mon,3.135233,13.726,1.198,0.71,0.854,-2.64,6808,-654,,,
