ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b
129,AW Cas,1,12,49,61,21,125.85,-1.11
130,AY Cas,1,35,28,64,44,127.94,2.58
130.3,BD Cas,0,7,16,61,14,118,-0.96
131,BF Cas,0,11,24,60,42,118.41,-1.56
132,BP Cas,1,11,41,65,20,125.37,2.84
133,BV Cas,1,26,40,62,1,127.4,-0.25
134,BY Cas,1,43,44,61,10,129.55,-0.73
135,CD Cas,23,42,38,62,43,115.48,1.1
136,CE A Cas,23,55,37,60,56,116.56,-1
137,CE B Cas,23,55,37,60,56,116.56,-1
138,CF Cas,23,55,46,60,56,116.58,-0.99
139,CG Cas,23,58,26,60,41,116.85,-1.31
140,CH Cas,23,19,47,62,28,112.9,1.64
141,CT Cas,0,17,18,62,54,119.4,0.52
142,CY Cas,23,26,58,63,5,113.87,1.96
143,CZ Cas,23,37,6,62,6,114.7,0.67
144,DD Cas,23,54,49,62,26,116.78,0.49
145,DF Cas,2,40,50,61,15,136.04,1.51
146,DL Cas,0,27,10.37,59,56,120.27,-2.55
147,DT Cas,23,32,27,59,5,113.3,-2.07
148,DW Cas,23,36,21,59,5,113.78,-2.21
149,EX Cas,23,59,57,61,38,117.21,-0.42
150,FM Cas,0,11,48.76,55,58,117.78,-6.25
151,FO Cas,0,14,22,60,30,118.75,-1.8
152,FW Cas,0,33,54,62,0,121.23,-0.55
153,GL Cas,2,7,13,59,0,132.93,-2.07
154,GM Cas,2,23,13,60,21,134.4,-0.15
155,GO Cas,2,31,21,59,9,135.79,-0.88
156,IO Cas,1,43,45,59,22,129.93,-2.5
157,KK Cas,23,47,45,59,38,115.32,-2.05
158,LT Cas,2,41,58,63,5,135.38,3.24
159,NP Cas,0,21,12,62,42,119.82,0.27
160,NY Cas,0,37,20,58,19,121.46,-4.24
161,OP Cas,0,43,33,63,16,122.39,0.67
162,OZ Cas,1,11,18,61,47,125.63,-0.7
163,PW Cas,23,23,39,60,58,112.83,0.06
164,V342 Cas,22,59,0,57,38,108.68,-1.88
165,V379 Cas,0,23,49,60,31,119.9,-1.93
166,V395 Cas,2,6,45,63,3,131.68,1.78
167,V407 Cas,23,51,53,61,47,116.31,-0.06
