ID,STAR,RA h,RA m,RA s,Dec d,Dec m,l,b
282,Z Lac,22,38,53,56,34,105.76,-1.62
283,RR Lac,22,39,27,56,10,105.64,-2.01
284,WX Lac,22,10,48,54,0,101.01,-1.72
285,BG Lac,21,58,23,43,12,92.97,-9.26
286,DF Lac,22,19,22,54,16,102.21,-2.18
287,FQ Lac,22,52,31,54,0,106.32,-4.79
288,GH Lup,15,20,57,-52,40,324.95,3.34
289,V473 Lyr,19,13,59,27,50,60.56,7.44
290,T Mon,6,22,31,7,6,203.63,-2.55
291,SV Mon,6,18,45,6,29,203.74,-3.67
292,TW Mon,6,47,59,0,4,212.82,-0.19
293,TX Mon,6,48,20,-1,22,214.14,-0.78
294,TY Mon,6,54,6,0,15,213.36,1.25
295,TZ Mon,6,55,27,0,-18,214.01,1.29
296,UY Mon,6,56,5,9,41,205.17,6
297,VZ Mon,6,28,29,11,53,200.1,0.98
298,WW Mon,6,30,53,9,15,202.71,0.27
299,XX Mon,6,49,42,-2,44,215.52,-1.11
300,YY Mon,6,51,47,-7,35,220.07,-2.88
301,AA Mon,6,54,54,-3,46,217.03,-0.43
302,AC Mon,6,58,36,-8,38,221.77,-1.85
303,BE Mon,6,37,24,7,39,204.87,0.96
304,BV Mon,6,54,10,4,35,209.51,3.25
305,CS Mon,6,29,28,6,41,204.82,-1.23
306,CU Mon,6,30,13,0,4,210.76,-4.13
307,CV Mon,6,34,27,3,6,208.57,-1.79
308,EE Mon,6,48,24,-7,55,219.97,-3.77
309,EK Mon,6,50,15,-2,23,215.27,-0.82
310,FG Mon,7,4,43,7,43,221.65,-0.09
311,FI Mon,7,8,20,-7,3,221.48,1.02
312,V446 Mon,6,40,42,1,12,210.97,-1.28
313,V447 Mon,6,41,38,4,32,208.12,0.46
314,V465 Mon,7,5,36,0,0,214.9,3.69
315,V484 Mon,6,28,34,-2,6,212.53,-5.51
316,V495 Mon,6,34,32,-2,46,213.81,-4.49
317,V504 Mon,6,42,14,-3,54,215.69,-3.29
318,V508 Mon,6,44,31,4,1,208.91,0.86
319,V510 Mon,6,44,51,2,34,210.24,0.26
320,V526 Mon,6,59,21,-1,3,215.13,1.81
321,V559 Mon,6,34,51,10,17,202.25,1.62
322,R Mus,12,39,0,-69,8,302.1,-6.55
323,S Mus,12,10,4,-69,52,299.64,-7.53
324,RT Mus,11,42,11,-67,1,296.53,-5.27
325,TZ Mus,11,48,30,-64,51,296.63,-3.01
326,UU Mus,11,49,50,-65,7,296.83,-3.24
327,UX Mus,12,14,47,-65,28,299.45,-3.11
328,DW Mus,13,4,28,-68,37,304.42,-6.07
329,S Nor,16,14,42,-57,46,327.75,-5.4
330,U Nor,15,38,28,-55,9,325.65,-0.16
331,RS Nor,16,1,16,-53,46,329.08,-1.19
332,SY Nor,15,50,49,-54,25,327.5,-0.68
333,TW Nor,16,1,7,-51,49,330.36,0.3
335,GU Nor,16,11,2,-53,12,330.54,-1.74
336,II Nor,16,19,39,-53,48,331.05,-3.06
337,IQ Nor,15,9,6,-54,34,322.46,2.67
338,QZ Nor,16,7,24,-54,13,329.46,-2.12
339,V340 Nor,16,9,21.3,-54,7,329.75,-2.23
340,Y Oph,17,49,58,-6,8,20.6,10.12
341,BF Oph,17,2,59,-26,30,357.08,8.57
342,RS Ori,6,19,22,14,42,196.58,0.35
343,CR Ori,6,2,56,13,13,195.94,-3.85
344,CS Ori,6,4,38,11,9,197.97,-4.51
345,CU Ori,6,8,39,11,48,197.87,-3.32
346,CV Ori,6,9,34,13,39,196.36,-2.24
347,DF Ori,6,21,16,11,44,199.41,-0.65
348,DO Ori,5,58,58,15,23,193.59,-3.63
349,GQ Ori,6,8,29,9,37,199.77,-4.42
350,V336 Ori,5,54,40,19,49,189.23,-2.3
351,SV Per,4,46,17,42,12,162.59,-1.51
352,SX Per,4,13,39,41,36,158.87,-6.35
353,UX Per,2,9,36,57,51,133.58,-3.09
354,UY Per,2,30,50,58,36,135.94,-1.41
355,VX Per,2,4,18,58,12,132.8,-2.96
356,VY Per,2,23,56,58,41,135.08,-1.67
357,AS Per,4,16,4,48,50,154.14,-0.87
358,AW Per,4,44,25,36,38,166.62,-5.39
359,BM Per,4,25,57,48,18,155.66,-0.08
