   -5.000e+00    7.431e+00
   -4.900e+00    7.896e+00
   -4.800e+00    8.795e+00
   -4.700e+00    9.607e+00
   -4.600e+00    1.099e+01
   -4.500e+00    1.273e+01
   -4.400e+00    1.492e+01
   -4.300e+00    1.768e+01
   -4.200e+00    2.051e+01
   -4.100e+00    2.476e+01
   -4.000e+00    2.747e+01
   -3.900e+00    2.688e+01
   -3.800e+00    2.717e+01
   -3.700e+00    2.673e+01
   -3.600e+00    2.641e+01
   -3.500e+00    2.624e+01
   -3.400e+00    2.849e+01
   -3.300e+00    2.941e+01
   -3.200e+00    3.216e+01
   -3.100e+00    3.360e+01
   -3.000e+00    3.625e+01
